code,code_type,description,code_id
27550,CPT,CL TX KNEE DISLOC W/O ANESTH,220
27552,CPT,CL TX DISL KNEE W/ANESTH,221
27560,CPT,PATELLAR DISLOC CLSD TRTMT,222
27562,CPT,CL TRMT PATELLAR DISLOC W/ANES,223
27602,CPT,DECOMPRESSION OF LOWER LEG,224
27648,CPT,INJ PROC ANKLE ARTHROGRAM,225
27752,CPT,CL TRMT TIBIA SHFT FX W MANIP,226
27762,CPT,CLSD TRT MED.MALLEO FX W/MANIP,227
27781,CPT,CL TX PROX FIB/SHAFT FX W/MAN,228
27788,CPT,CL TX DISTAL FIBULA W/MANIP,229
27808,CPT,BIMALLEOLAR ANKLE FX WO REDUCT,230
27810,CPT,BIMALLEOLAR ANKLE FX W/REDUCT,231
27816,CPT,CL TX TRIMALLEOL ANKLE FX W/O,232
27818,CPT,TRIMALLEOLAR ANKLE FX W/REDUCT,233
27825,CPT,CL TX FX DIST TIB WWO ANES MAN,234
27840,CPT,ANKLE DISLOCATION WO ANESTH,235
27842,CPT,ANKLE DISLOCATION W/ANESTHESIA,236
27899,CPT,UNLISTED PROCEDURE LEG OR ANKL,237
28010,CPT,TENOTOMY SUBCUTANEOUS TOE SING,238
28405,CPT,CLSD TX CALCANEAL FX W/MANIP,239
28435,CPT,CL TX FX TALUS/W REDUCT,240
28475,CPT,CL TX METATARSAL FX,241
28495,CPT,GREAT TOE FX W/REDUCT,242
28515,CPT,TOE FX W/REDUCT EACH,243
28630,CPT,METATARSOPHALANGEAL DISLOC WO,244
28660,CPT,INTERPHALANGEAL DISLOC WO ANES,245
29085,CPT,CAST HAND AND LOWER FOREARM,246
29105,CPT,APPLY LONG ARM SPLINT,247
29125,CPT,APPLY FOREARM SPLINT,248
29125,CPT,CO APPLY FOREARM SPLINT,249
29130,CPT,APPLY FINGER SPLINT STATIC,250
29260,CPT,STRAPPING ELBOW/WRIST,251
29405,CPT,APPL SHORT LEG CAST,252
29445,CPT,TOTAL CONTACT CAST,253
29505,CPT,APPLY LONG LEG SPLINT,254
29515,CPT,APPLY LOWER LEG SPLINT,255
29580,CPT,APPLY UNNA BOOT,256
29580,CPT,APPLY UNNA BOOT LT,257
29580,CPT,APPLY UNNA BOOT RT,258
29581,CPT,APPL MLTLYR COMPRS LWR LEG LT,259
29581,CPT,APPL MLTLYR COMPRS LWR LEG RT,260
29584,CPT,APPL MULTLAY COMPR ARM/HAND LT,261
29584,CPT,APPL MULTLAY COMPR ARM/HAND RT,262
29700,CPT,REMOVE/BIVALVE CAST,263
29705,CPT,REMOVAL FULL EXTREMITY CAST,264
30000,CPT,DRAINAGE OF NOSE LESION,265
30020,CPT,DRAINAGE ABSCESS NASAL SEPTUM,266
30300,CPT,REMOVE FOREIGN BODY NASAL,267
30901,CPT,NOSEBLEED ANTER SIMPLE UNILAT,268
30903,CPT,NOSEBLEED ANTER COMPLEX UNILAT,269
30905,CPT,NOSEBLEED POSTERIOR INITIAL,270
30999,CPT,UNLISTED PROCEDURE - NOSE,271
31231,CPT,NASAL ENDOS DIAG UNI OR BIL,272
31238,CPT,NASAL/SINUS ENDO W/CONTR EPIST,273
31500,CPT,ENDOTRACH INTUBATION EMERGENT,274
31502,CPT,CHANGE TRACHEOSTOMY TUBE,275
31525,CPT,LARYNGOSCOPY DIRECT DIAG,276
31575,CPT,LARYNGOSCOPY FLEX FIBEROPTIC,277
31575,CPT,LARYNGOSCOPY-FLEX FIBEROPTIC,278
31577,CPT,LARYNGOSCOPY FLEX DIAG W/RMVL,279
31600,CPT,BEDSIDE TRACHEOSTOMY/PLANNED,280
31605,CPT,CRICOTHYROIDOSTOMY EMERGENT,281
31622,CPT,BRONCHOSCOPY ASSIST DIAGNOSTIC,282
31622,CPT,BRONCHOSCOPY DIAGNOSTIC,283
31622,CPT,BRONCHOSCOPY DX WWO CELL WASH,284
31623,CPT,BRONCHOSCOPY DIAG W/BRUSHING,285
31624,CPT,BRONCHOSCOPY W/BAL,286
31625,CPT,BRONCHOSCOPY BRUSHING & BIOPSY,287
31628,CPT,BRONCH TRANSBRONC W/WO FLUORO,288
31629,CPT,TRANS BRONCHIAL NEEDLE ASPIR,289
31635,CPT,BRONCHOSCOPY W/REM FOREIGN BOD,290
31652,CPT,BRONCH EBUS SAMPLNG 1/2 NODE,291
31653,CPT,BRONCH EBUS SAMPLNG 3/> NODE,292
32100,CPT,THOROCOTOMY MAJOR,293
32110,CPT,THORACOTOMY CTL HEM RPR TEAR,294
32160,CPT,THORACOTOMY W/CARDIAC MASSAGE,295
32400,CPT,BX PLEURA PERC NDL,296
32408,CPT,CORE NDL BX LNG/MED PERQ W/IMG,297
32550,CPT,INSERT PLEURAL CATH,298
32551,CPT,INSERT CHEST TUBE,299
32554,CPT,THORACENTESIS,300
32555,CPT,THORACENTESIS W GUIDANCE,301
32556,CPT,PLRL DRN PRC W TBE INS WO IMG,302
32557,CPT,PLRL DRN PRC W TBE INS & GUID,303
32998,CPT,PRCT ABL RF PULM UNI IMG GUIDE,304
33016,CPT,PERICARDIOCENTESIS W/IMAGING,305
33017,CPT,PRCRD DRG 6YR+ W/O CGEN CAR,306
33018,CPT,PRCRD DRG 0-5YR OR W/ANOMLY,307
33020,CPT,PERICARDIOTOMY,308
33207,CPT,INS NEW VNTRCL  PACER & LEAD,309
33208,CPT,INS NEW ATRL & VNT PMKR & LEAD,310
33210,CPT,PACEMAKER INSERTION TEMPORARY,311
33215,CPT,REPOSITION PACER ICD ELECTRODE,312
33216,CPT,INSRT/REPLC PACER LEAD SNGL>15,313
33217,CPT,INSRT/RPLC/REPO PACE LEAD DUAL,314
33222,CPT,RELOCATE PACER POCKET,315
33224,CPT,INS LV LEAD EXIST PMKR/GEN,316
33225,CPT,INS LV LEAD NEW SYS W PKT RVS,317
33227,CPT,RMV & RPL PMKR GEN SNGL LEAD,318
33228,CPT,RMV & RPL PMKR GEN DUAL LEAD,319
33229,CPT,RMV & RPL PMKR GEN MULT LEADS,320
33233,CPT,RMV PMKR/PULSE GEN ONLY,321
33234,CPT,REMOVE PACER LEAD SINGLE,322
33235,CPT,REMOVE PACER LEAD DUAL,323
33240,CPT,INS GEN ONLY W SNGL EXS LEAD,324
33241,CPT,REMOVE  PULSE GEN ONLY,325
33244,CPT,REMV ICD LEADS BY TRNSVNS EXTR,326
33249,CPT,INS PCR/DFB W LEAD SNG/DL CHM,327
33262,CPT,RMV & RPL  CVD GEN SNGL LEAD,328
33263,CPT,RMV & RPL  CVD GEN DUAL LEAD,329
33264,CPT,RMV & RPL  CVD GEN MULT LEAD,330
33270,CPT,INSERT/REPLACE SQ ICD SYSTEM,331
33274,CPT,TCAT INSJ/RPL PERM LDLS PM,332
33285,CPT,INSJ SUBQ CAR RHYTHM MNTR,333
33286,CPT,RMVL SUBQ CAR RHYTHM MNTR,334
33947,CPT,ECMO/ECLS INIT VENO-ARTERIAL,335
33952,CPT,ECMO/ECLS PRPH CAN PERC AGE 6+,336
33967,CPT,BALLOON PUMP INSERTION,337
33993,CPT,REPOS PERQ R/L HRTVAD SEP SESS,338
34705,CPT,EVAC RPR A-BIILIAC NDGFT,339
34707,CPT,EVASC RPR ILIO-ILIAC NDGFT,340
35207,CPT,REPAIR BLOOD VESSEL HAND FINGR,341
35226,CPT,REPAIR BLOOD VESSEL L EXT,342
36002,CPT,PSEUDOANEURYSM THROMBIN INJ,343
36005,CPT,INJ CONT VENO INC NDL/INTRCATH,344
36010,CPT,INTRO CATH SUPER/INF VENA CAVA,345
36011,CPT,SEL CTH PLC VENOUS 1ST BRANCH,346
36012,CPT,SEL CTH PLC VENOUS/2ND BRANCH,347
36013,CPT,INTRO CATH MAIN PULM ARTERY,348
36014,CPT,SEL CATHPLC L/R PULM ART,349
36015,CPT,SEL CATH PLC SUB/SEG PULM,350
36140,CPT,ARTERAL LINE PLACEMENT,351
36140,CPT,INTRO NDL/INTRCATH EXTREM ART,352
36160,CPT,INTRO NDL/INTRCATH AO TRANSLUM,353
36200,CPT,INTRO CATH AORTA,354
36215,CPT,SEL CTH PLC 1ST ORD ART/THOR B,355
36216,CPT,SEL CTH PLC 2ND ORD ART/THOR B,356
36217,CPT,SEL CTH PLC 3RD ORD ART/THOR B,357
36218,CPT,SEL CTH PLC 2-3 ADD ART/THOR B,358
36221,CPT,CATH PLACE THORACIC AORTA,359
36222,CPT,CATH PL COM CAR W CERVL IM UNI,360
36222,CPT,CATH PL COM CAR W CERVL IMG BI,361
36223,CPT,CATH PL COM CAR W CEREB IM UNI,362
36223,CPT,CATH PL COM CAR W CEREB IMG BI,363
36223,CPT,CTH PLC COM CRTD INT CAR RT,364
36223,CPT,CTH PLC COM CRTD INT CAR UNI,365
36224,CPT,CATH PL INT CAR W CEREB IM UNI,366
36224,CPT,CATH PL INT CAR W CEREB IMG BI,367
36225,CPT,CATH PL SUBC/INN W VERT IM UNI,368
36225,CPT,CATH PL SUBC/INN W VERT IMG BI,369
36225,CPT,CTH PLC  SUBCLV ART W VERT RT,370
36225,CPT,CTH PLC SUBCLV ART W VERT LT,371
36226,CPT,CATH PL VERTEB W VERT IM UNI,372
36226,CPT,CATH PL VERTEB W VERT IMG BI,373
36227,CPT,CATH PL EXT CAR W EX/C IM UNI,374
36227,CPT,CATH PL EXT CAR W EX/C IMG BI,375
36228,CPT,CATH PL CEREB W CEREB IM UNI,376
36245,CPT,SEL CTH PLC 1ST ORD ART/ABD/PE,377
36246,CPT,SEL CTH PLC 2ND ORD ART/ABD/PE,378
36247,CPT,SEL CTH PLC 3RD/ORD ART/ABD/PE,379
36248,CPT,SEL CTH PLC 2-3 ADDL ART/ABD/P,380
36251,CPT,INS CATH REN ART 1ST ORD LT,381
36251,CPT,INS CATH REN ART 1ST ORD RT,382
36251,CPT,INS CATH REN ART 1ST ORD UNI,383
36252,CPT,INS CATH REN ART 1ST ORD BI,384
36253,CPT,INS CATH REN ART 2ND ORD UNI,385
36254,CPT,INS CATH REN ART 2ND ORD BI,386
36410,CPT,VENIPUNCTURE >3YRS DIAG/THERA,387
36415,CPT,VENIPUNCTURE ROUTINE LAB STAFF,388
36415,CPT,VENIPUNCTURE ROUTINE SPEC COLL,389
36416,CPT,FINGER HEEL OR EARSTICK,390
36425,CPT,VENIPUNCTURE CUTDOWN > 1YR,391
36430,CPT,BLOOD TX (CELL SAVER/BLD BANK),392
36430,CPT,CELL SAVING TRANSFUSION PROC,393
36430,CPT,TRANSFUSION BLOOD/COMPONENTS,394
36470,CPT,SCLEROSING INJ - SGL VEIN,395
36470,CPT,SCLEROSING INJ SGL VN LT,396
36470,CPT,SCLEROSING INJ SGL VN RT,397
36471,CPT,SCLEROSING INJ - MULT VEINS,398
36473,CPT,ENDOVENOUS MCHNCHEM 1ST VEIN,399
36475,CPT,ENDOVENOUS RF 1ST VEIN,400
36482,CPT,ENDOVEN THER CHEM ADHES 1ST,401
36511,CPT,THERAPEUTIC LEUKAPHERESIS,402
36513,CPT,THERAPEUTIC PLATELETPHERESIS,403
36514,CPT,APHERESIS-TTP,404
36514,CPT,SPECTRA PLASMAPHORESIS,405
36555,CPT,INS NON-TUNNELED CV CATH <5 YR,406
36556,CPT,CV CATH NO TUNNEL >5 YRS,407
36558,CPT,CV CATH - WO PUMP/PORT >5 YRS,408
36561,CPT,INSERT CV DEVICE W SUBQ PORT>5,409
36566,CPT,CV DEV - 2CATH W PORT (TESIO),410
36569,CPT,INS PICC WO PORT/IMG GDE >5YRS,411
36569,CPT,PICC INSERT W/MICROINTRODUCER,412
36569,CPT,PICC WO PUMP/PORT/IMG >5 YRS,413
36571,CPT,INSRT PERIPH INS CV ACC DEV W,414
36571,CPT,INS PIC DEVICE - W PORT >5 YRS,415
36571,CPT,PIC DEVICE - W PORT >5 YRS,416
36572,CPT,INS PICC WO PORT/PUMP W/IMG 5>,417
36573,CPT,INS PICC WO PORT/PUMP W/IMG 5+,418
36576,CPT,REPAIR CV ACC CATH W/SC PRT/PM,419
36580,CPT,REPLC COMP NONTUN CV CATH WO/S,420
36581,CPT,REPLC COMP TUN CV CATH WO SCPP,421
36582,CPT,REPLC COMP TUN CV ACC DE PR,422
36584,CPT,RPLC COMP PERIPH CV CATH WO SC,423
36584,CPT,PICC REPL WO PUMP/PORT W/IMG,424
36585,CPT,RPLC COMP PERIPH CV CATH W SC,425
36589,CPT,REM TUN CV CATH WO SC PRT/PUMP,426
36590,CPT,REM TUN CV CATH W SC PRT/PUMP,427
36591,CPT,VAD BLOOD DRAW-IMPLANTED PORT,428
36592,CPT,VAD BLOOD DRAW-CVP/PICC,429
36593,CPT,DCLOT CNTRL LINE W THROM AGENT,430
36593,CPT,DCLOT IV PICC W THROMB AGENT,431
36593,CPT,DCLOT MIDLINE W THROMB AGENT,432
36593,CPT,DCLOT PORT CATH W THROMB AGENT,433
36593,CPT,DECLOT THROM AGENT IMP DEV/CAT,434
36593,CPT,DECLOT VAS ACC W/THROMBOLYTIC,435
36593,CPT,DECLOT VASC ACCESS DEVICE,436
36595,CPT,REM PERICATH OBS MAT CV DEV SP,437
36597,CPT,REPOSITION OF CVP CATH/FLUORO,438
36598,CPT,INJ CONT VIA EXISTING CVA DVC,439
36600,CPT,ARTERIAL PUNCTURE,440
36620,CPT,ARTERIAL CATH/CANNUL PERCUTAN,441
36620,CPT,ARTERIAL LINE INSERTION PERC,442
36680,CPT,PLACE INTRAOSSEOUS NEEDLE F/IN,443
36836,CPT,PRQ AV FSTL CRTJ UXTR 1 ACS,444
36837,CPT,PRQ AV FSTL CRT UXTR SEP ACS,445
36901,CPT,AV ACCESS,446
36902,CPT,AV ACCESS W ANGIOPLASTY REVASC,447
36902,CPT,INTRO CATH DIA CIR W/ANGIO,448
36902,CPT,INTRO CATH DIALYSIS CIRCUIT,449
36903,CPT,AV AXCS STENT/ANGPLAS REVASC,450
36904,CPT,AV ACCESS THROMBECTOMY,451
36905,CPT,THROMBECTOMY AND PTA,452
36907,CPT,ADD ON ANGIOPLASTY CENTRAL,453
36907,CPT,BALO ANGIOP CTR DIALYSIS SEG,454
36909,CPT,AV EMBOLIZATION,455
37182,CPT,TIPS INIT PLC INCL EVERYTHING,456
37184,CPT,THROMBECTOMY W TPA PRIM VESSEL,457
37185,CPT,THRMBCTMY W TPA SEC SUBSQ VSSL,458
37186,CPT,THROMBECTOMY W TPA W SEC DVC,459
37187,CPT,VENOUS MECH THROMBECTOMY,460
37191,CPT,INSERT IVC,461
37191,CPT,INSERT IVC FILTER,462
37193,CPT,REMOVE IVC,463
